	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP
First Exquisite Rune-keeper's Earring of Helm Hammerhand	192				239	273									1874		922											Necklace + Earring = +10% Chill of Winter Damage																																					
First Exquisite Rune-keeper's Necklace of Helm Hammerhand	192				239	273								922	1874													Necklace + Earring = +10% Chill of Winter Damage																																					
Second Exquisite Rune-keeper's Bracelet of Helm Hammerhand	192				239	273								768	2343													Pocket + Bracelet + Ring = 10% chance on hit: +1 Battle Attunement																																					
Second Exquisite Rune-keeper's Ring of Helm Hammerhand	192				239	273		219							1874		614											Pocket + Bracelet + Ring = 10% chance on hit: +1 Battle Attunement																																					
Second Exquisite Rune-keeper's Token of Helm Hammerhand	192				239	273									2343		768											Pocket + Bracelet + Ring = 10% chance on hit: +1 Battle Attunement																																					
Third Rune-keeper's Earring of Helm Hammerhand	192				205	239								922			461											Necklace + Earring = +10% Healing Over Time																																					
Third Rune-keeper's Necklace of Helm Hammerhand	192				205	239								461			922											Necklace + Earring = +10% Healing Over Time																																					
Fourth Rune-keeper's Bracelet of Helm Hammerhand	192				205	239								614			768											Pocket + Bracelet + Ring = 10% chance on heal: +1 Healing Attunement																																					
Fourth Rune-keeper's Ring of Helm Hammerhand	192				205	239		219						614			461											Pocket + Bracelet + Ring = 10% chance on heal: +1 Healing Attunement																																					
Fourth Rune-keeper's Token of Helm Hammerhand	192				205	239								768			614											Pocket + Bracelet + Ring = 10% chance on heal: +1 Healing Attunement																																					
Third Exquisite Rune-keeper's Earring of Helm Hammerhand	192				239	273								922			614											Necklace + Earring = +10% Healing Over Time																																					
Third Exquisite Rune-keeper's Necklace of Helm Hammerhand	192				239	273								614			922											Necklace + Earring = +10% Healing Over Time																																					
Fourth Exquisite Rune-keeper's Bracelet of Helm Hammerhand	192				239	273								768			768											Pocket + Bracelet + Ring = 10% chance on heal: +1 Healing Attunement																																					
Fourth Exquisite Rune-keeper's Ring of Helm Hammerhand	192				239	273		219						614			614											Pocket + Bracelet + Ring = 10% chance on heal: +1 Healing Attunement																																					
Fourth Exquisite Rune-keeper's Token of Helm Hammerhand	192				239	273								768			768											Pocket + Bracelet + Ring = 10% chance on heal: +1 Healing Attunement																																					
Warden lvl100																																																																	
First Warden's Earring of Helm Hammerhand	192			239	205										2343	614												Necklace + Earring = +10% Spear Gambit Damage																																					
First Warden's Necklace of Helm Hammerhand	192			239	205									614		768												Necklace + Earring = +10% Spear Gambit Damage																																					
Second Warden's Bracelet of Helm Hammerhand	192			239	205				189					614	1406													Pocket + Bracelet + Ring = 10% chance on hit: 1,533 Damage every 2 seconds for 10 seconds																																					
Second Warden's Ring of Helm Hammerhand	192			239	205									461		922												Pocket + Bracelet + Ring = 10% chance on hit: 1,533 Damage every 2 seconds for 10 seconds																																					
Second Warden's Token of Helm Hammerhand	192			239	205			219						614		461												Pocket + Bracelet + Ring = 10% chance on hit: 1,533 Damage every 2 seconds for 10 seconds																																					
First Exquisite Warden's Earring of Helm Hammerhand	192			273	239										2343	768												Necklace + Earring = +10% Spear Gambit Damage																																					
First Exquisite Warden's Necklace of Helm Hammerhand	192			273	239									768		768												Necklace + Earring = +10% Spear Gambit Damage																																					
Second Exquisite Warden's Bracelet of Helm Hammerhand	192			273	239				189					614	1874													Pocket + Bracelet + Ring = 10% chance on hit: 1,533 Damage every 2 seconds for 10 seconds																																					
Second Exquisite Warden's Ring of Helm Hammerhand	192			273	239									614		922												Pocket + Bracelet + Ring = 10% chance on hit: 1,533 Damage every 2 seconds for 10 seconds																																					
Second Exquisite Warden's Token of Helm Hammerhand	192			273	239			219						614		614												Pocket + Bracelet + Ring = 10% chance on hit: 1,533 Damage every 2 seconds for 10 seconds																																					
Third Warden's Earring of Helm Hammerhand	192			205	239			219													1382		1037					Necklace + Earring = +10% Shield Gambit Line Healing																																					
Third Warden's Necklace of Helm Hammerhand	192			205	239				189										1544			1037						Necklace + Earring = +10% Shield Gambit Line Healing																																					
Fourth Warden's Bracelet of Helm Hammerhand	192			205	239														1158				2074					Pocket + Bracelet + Ring = 10% chance on being healed by an ally: Restores 10% of maximum Morale																																					
Fourth Warden's Ring of Helm Hammerhand	192			205	239																1382	1728						Pocket + Bracelet + Ring = 10% chance on being healed by an ally: Restores 10% of maximum Morale																																					
Fourth Warden's Token of Helm Hammerhand	192			205	239																2074		1037					Pocket + Bracelet + Ring = 10% chance on being healed by an ally: Restores 10% of maximum Morale																																					
Third Exquisite Warden's Earring of Helm Hammerhand	192			239	273			219													1382		1382					Necklace + Earring = +10% Shield Gambit Line Healing																																					
Third Exquisite Warden's Necklace of Helm Hammerhand	192			239	273				189										1544			1382						Necklace + Earring = +10% Shield Gambit Line Healing																																					
Fourth Exquisite Warden's Bracelet of Helm Hammerhand	192			239	273														1544				2074					Pocket + Bracelet + Ring = 10% chance on being healed by an ally: Restores 10% of maximum Morale																																					
Fourth Exquisite Warden's Ring of Helm Hammerhand	192			239	273																1728	1728						Pocket + Bracelet + Ring = 10% chance on being healed by an ally: Restores 10% of maximum Morale																																					
Fourth Exquisite Warden's Token of Helm Hammerhand	192			239	273																2074		1382					Pocket + Bracelet + Ring = 10% chance on being healed by an ally: Restores 10% of maximum Morale																																					
