	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes
(1879338206) Bracelet of Forgotten Spirits (2s):	234					=CALCSLICE("Will";B137;2,2)		=CALCSLICE("Morale";B137;1,2)																=CALCSLICE("PhyMit";B137;0,4)	=CALCSLICE("TacMit";B137;0,4)																																									Wrists	LoMiRu
(1879338209) Bracelet of Outcast Brethren (2s):	234			=CALCSLICE("Agility";B138;2,2)				=CALCSLICE("Morale";B138;1,2)																=CALCSLICE("PhyMit";B138;0,4)	=CALCSLICE("TacMit";B138;0,4)																																									Wrists	BuHuWa
(1879339502) Bangle of Deep Waters	234				=CALCSLICE("Vitality";B139;2,4)	=CALCSLICE("Will";B139;2,8)		=CALCSLICE("Morale";B139;1,2)						=CALCSLICE("CritHit";B139;0,6)																																																					
(1879339558) Bracelet of the Three Stars	234				=CALCSLICE("Vitality";B140;2,4)	=CALCSLICE("Will";B140;2,8)	=CALCSLICE("Fate";B140;1)								=CALCSLICE("Finesse";B140;0,8)																																																				
(1879339533) Lapis Lazuli Cuff	234		=CALCSLICE("Might";B141;2,4)		=CALCSLICE("Vitality";B141;2,8)		=CALCSLICE("Fate";B141;1,2)												=CALCSLICE("CritDef";B141;0,6)																																																
(1879339537) Silver Cuff	234			=CALCSLICE("Agility";B142;2,8)	=CALCSLICE("Vitality";B142;2,4)		=CALCSLICE("Fate";B142;1)	=CALCSLICE("Morale";B142;0,8)																																																											
(1879339501) Spun Gold Bracelet	234		=CALCSLICE("Might";B143;2,8)		=CALCSLICE("Vitality";B143;2,4)			=CALCSLICE("Morale";B143;0,6)						=CALCSLICE("CritHit";B143;0,8)		=CALCSLICE("PhyMas";B143;0,4)																																																			
Lesser Bracelet of the Pelennor Sage (2s):	222					=CALCSLICE("Will";B144;2,8)		=CALCSLICE("Morale";B144;1,4)																																																										Wrists	LoMiRu
Lesser Bracelet of the Pelennor Scout (2s):	222			=CALCSLICE("Agility";B145;2,8)				=CALCSLICE("Morale";B145;1,4)																																																										Wrists	BuHuWa
Lesser Bracelet of the Pelennor Warrior (2s):	222		=CALCSLICE("Might";B146;2,8)					=CALCSLICE("Morale";B146;1,4)																																																										Wrists	BeCaChGuWa
(1879331933) Bracelet of Absent Friends (2s):	222		=CALCSLICE("Might";B147;2,2)					=CALCSLICE("Morale";B147;1,2)																=CALCSLICE("PhyMit";B147;0,4)	=CALCSLICE("TacMit";B147;0,4)																																									Wrists	BeCaChGuWa
(1879331938) Bracelet of Forgotten Spirits (2s):	222					=CALCSLICE("Will";B148;2,2)		=CALCSLICE("Morale";B148;1,2)																=CALCSLICE("PhyMit";B148;0,4)	=CALCSLICE("TacMit";B148;0,4)																																									Wrists	LoMiRu
(1879331932) Bracelet of Outcast Brethren (2s):	222			=CALCSLICE("Agility";B149;2,2)				=CALCSLICE("Morale";B149;1,2)																=CALCSLICE("PhyMit";B149;0,4)	=CALCSLICE("TacMit";B149;0,4)																																									Wrists	BuHuWa
Exquisite Anórien Bracelet of Combat (3s):	201		=CALCSLICE("Might";B150;1,4)					=CALCSLICE("Morale";B150;1,4)																																																										Wrists	BeCaChGuWa
Exquisite Anórien Bracelet of Skill (3s):	201			=CALCSLICE("Agility";B151;1,4)				=CALCSLICE("Morale";B151;1,4)																																																										Wrists	BuHuWa
Exquisite Anórien Bracelet of Succour (3s):	201					=CALCSLICE("Will";B152;1,4)		=CALCSLICE("Morale";B152;1,4)																																																										Wrists	LoMiRu
Siege-breaker's Bracelet of Warfare (2s):	201		=CALCSLICE("Might";B153;2)					=CALCSLICE("Morale";B153;1,2)						=CALCSLICE("CritHit";B153;1)																																																				Wrists	BeCaChGuWa
Siege-breaker's Bracelet of Strategy (2s):	201			=CALCSLICE("Agility";B154;2)				=CALCSLICE("Morale";B154;1,2)						=CALCSLICE("CritHit";B154;1)																																																				Wrists	BuHuWa
Siege-breaker's Bracelet of Tactics (2s):	201					=CALCSLICE("Will";B155;2)		=CALCSLICE("Morale";B155;1,2)						=CALCSLICE("CritHit";B155;1)																																																				Wrists	LoMiRu
Armlet of Anárion (3s):	201		=CALCSLICE("Might";B156;2,8)																																																															Wrists	BeCaChGuWa
Armlet of Siriondil (3s):	201		=CALCSLICE("Might";B157;1,4)		=CALCSLICE("Vitality";B157;1,4)																																																													Wrists	BeCaChGuWa
Bracelet of Mighty Defiance (3s):	201		=CALCSLICE("Might";B158;2,8)																																																															Wrists	BeCaChGuWa
Hearty Bracelet of Mighty Defiance (3s):	201		=CALCSLICE("Might";B159;1,4)		=CALCSLICE("Vitality";B159;1,4)																																																													Wrists	BeCaChGuWa
Armlet of Meneldil (3s):	201			=CALCSLICE("Agility";B160;2,8)																																																														Wrists	BuHuWa
Armlet of Alcarin (3s):	201			=CALCSLICE("Agility";B161;1,4)	=CALCSLICE("Vitality";B161;1,4)																																																													Wrists	BuHuWa
Bracelet of Willful Defiance (3s):	201					=CALCSLICE("Will";B162;2,8)																																																												Wrists	BuHuWa
Hearty Bracelet of Willful Defiance (3s):	201				=CALCSLICE("Vitality";B163;1,4)	=CALCSLICE("Will";B163;1,4)																																																												Wrists	BuHuWa
Armlet of Ostoher (3s):	201					=CALCSLICE("Will";B164;2,8)																																																												Wrists	LoMiRu
Armlet of Eldacar (3s):	201				=CALCSLICE("Vitality";B165;1,4)	=CALCSLICE("Will";B165;1,4)																																																												Wrists	LoMiRu
Bracelet of Skilled Defiance (3s):	201			=CALCSLICE("Agility";B166;2,8)																																																														Wrists	LoMiRu
Hearty Bracelet of Skilled Defiance (3s):	201			=CALCSLICE("Agility";B167;1,4)	=CALCSLICE("Vitality";B167;1,4)																																																													Wrists	BuHuWa
Gleaming Bracelet of the Prince	195		=CALCSLICE("Might";B168;3)		=CALCSLICE("Vitality";B168;2)																			=CALCSLICE("PhyMit";B168;1)	=CALCSLICE("TacMit";B168;1)																																										
Polished Bracelet of the Prince	195			=CALCSLICE("Agility";B169;3)	=CALCSLICE("Vitality";B169;2)																			=CALCSLICE("PhyMit";B169;1)	=CALCSLICE("TacMit";B169;1)																																										
Shining Bracelet of the Prince	195				=CALCSLICE("Vitality";B170;2)	=CALCSLICE("Will";B170;3)																		=CALCSLICE("PhyMit";B170;1)	=CALCSLICE("TacMit";B170;1)																																										
(1879310843) Adept Officer's Enduring Bracelet	192		=CALCSLICE("Might";B171;2,8)		=CALCSLICE("Vitality";B171;2,4)		=CALCSLICE("Fate";B171;1)								=CALCSLICE("Finesse";B171;0,8)																																																				
(1879310886) Skilled Vanguard's Resolute Bracelet	192				=CALCSLICE("Vitality";B172;2,4)	=CALCSLICE("Will";B172;2,8)	=CALCSLICE("Fate";B172;0,8)	=CALCSLICE("Morale";B172;0,4)							=CALCSLICE("Finesse";B172;0,6)																																																				
(1879310845) Adept Officer's Persevering Bracelet	192				=CALCSLICE("Vitality";B173;2,4)	=CALCSLICE("Will";B173;2,8)								=CALCSLICE("CritHit";B173;0,8)			=CALCSLICE("TacMas";B173;1)																																																		
(1879310923) Adept Officer's Resolute Bracelet	192				=CALCSLICE("Vitality";B174;2,4)	=CALCSLICE("Will";B174;2,8)								=CALCSLICE("CritHit";B174;1)	=CALCSLICE("Finesse";B174;0,8)																																																				
(1879310958) Veteran Engineer's Valourous Bracelet	192		=CALCSLICE("Might";B175;2,4)		=CALCSLICE("Vitality";B175;2)									=CALCSLICE("CritHit";B175;0,4)	=CALCSLICE("Finesse";B175;1,2)																																																				
Exquisite Bracelet of Fangorn	182		=CALCSLICE("Might";B176;2,8)		=CALCSLICE("Vitality";B176;2,4)			=CALCSLICE("Morale";B176;0,6)						=CALCSLICE("CritHit";B176;0,6)		=CALCSLICE("PhyMas";B176;0,6)																																																			
Exquisite Fangorn Bracelet of Skill	182			=CALCSLICE("Agility";B177;2,8)	=CALCSLICE("Vitality";B177;2,4)			=CALCSLICE("Morale";B177;0,6)						=CALCSLICE("CritHit";B177;0,6)		=CALCSLICE("PhyMas";B177;0,6)																																																			
Exquisite Fangorn Bracelet of Tactics	182				=CALCSLICE("Vitality";B178;2,4)	=CALCSLICE("Will";B178;2,8)		=CALCSLICE("Morale";B178;0,6)						=CALCSLICE("CritHit";B178;0,6)			=CALCSLICE("TacMas";B178;0,6)																																																		
Exquisite Fangorn Bracelet of Endurance	182				=CALCSLICE("Vitality";B179;2,8)		=CALCSLICE("Fate";B179;2,4)	=CALCSLICE("Morale";B179;0,8)	=CALCSLICE("Power";B179;0,8)										=CALCSLICE("CritDef";B179;0,2)																																																
Master Engineer's Valourous Bracelet	176		=CALCSLICE("Might";B180;2,8)		=CALCSLICE("Vitality";B180;2,4)									=CALCSLICE("CritHit";B180;0,6)	=CALCSLICE("Finesse";B180;1,2)																																																				
Battle Bracelet of the Deep	176		=CALCSLICE("Might";B181;2,8)		=CALCSLICE("Vitality";B181;2,4)			=CALCSLICE("Morale";B181;1)						=CALCSLICE("CritHit";B181;0,6)	=CALCSLICE("Finesse";B181;0,2)																																																				
Skilled Vanguard's Enduring Bracelet	176		=CALCSLICE("Might";B182;2,4)		=CALCSLICE("Vitality";B182;2,8)		=CALCSLICE("Fate";B182;0,8)	=CALCSLICE("Morale";B182;0,4)															=CALCSLICE("Evade";B182;0,6)																																												
Adept Officer's Enduring Bracelet	176		=CALCSLICE("Might";B183;2,4)		=CALCSLICE("Vitality";B183;2,8)														=CALCSLICE("CritDef";B183;1)				=CALCSLICE("Evade";B183;0,8)																																												
Greater Dextrous Bracelet of Fate	176			=CALCSLICE("Agility";B184;2,8)	=CALCSLICE("Vitality";B184;2,4)		=CALCSLICE("Fate";B184;1,2)							=CALCSLICE("CritHit";B184;0,6)														Inn of the Forsaken,The Flight to the Lonely Mountain																																							
Master Engineer's Dextrous Bracelet	176			=CALCSLICE("Agility";B185;2,8)	=CALCSLICE("Vitality";B185;2,4)		=CALCSLICE("Fate";B185;1,2)								=CALCSLICE("Finesse";B185;0,6)																																																				
Greater Dextrous Bracelet of Penetration	176			=CALCSLICE("Agility";B186;2,8)	=CALCSLICE("Vitality";B186;2,4)									=CALCSLICE("CritHit";B186;0,8)	=CALCSLICE("Finesse";B186;0,6)	=CALCSLICE("PhyMas";B186;0,4)																																																			
Tactical Bracelet of the Deep	176				=CALCSLICE("Vitality";B187;2,4)	=CALCSLICE("Will";B187;2,8)		=CALCSLICE("Morale";B187;1)						=CALCSLICE("CritHit";B187;0,6)	=CALCSLICE("Finesse";B187;0,2)																																																				
Veteran Rohirric Esquire's Valourous Bracelet	156		=CALCSLICE("Might";B188;2,4)		=CALCSLICE("Vitality";B188;2)									=CALCSLICE("CritHit";B188;1)	=CALCSLICE("Finesse";B188;0,6)																																																				
Exquisite Emerald Bracelet of Succour	156				=CALCSLICE("Vitality";B189;2)	=CALCSLICE("Will";B189;2,4)		=CALCSLICE("Morale";B189;1)						=CALCSLICE("CritHit";B189;0,6)																																																					
Fingers																																																																	
Braided Crimson-brushed Band of Ithilien's Bounty (3s):	246			=CALCSLICE("Agility";B191;2)				=CALCSLICE("Morale";B191;0,8)																																																										Fingers	BuHuWa
Delicate Crimson-glossed Loop of Ithilien's Bounty (3s):	246					=CALCSLICE("Will";B192;2)		=CALCSLICE("Morale";B192;0,8)																																																										Fingers	LoMiRu
Heavy Ruby Ring of Ithilien's Bounty (3s):	246		=CALCSLICE("Might";B193;2)					=CALCSLICE("Morale";B193;0,8)																																																										Fingers	BeCaChGuWa
Greater Ring of the Pelennor Sage (3s):	234					=CALCSLICE("Will";B194;2)		=CALCSLICE("Morale";B194;0,8)																																																										Fingers	LoMiRu
Greater Ring of the Pelennor Scout (3s):	234			=CALCSLICE("Agility";B195;2)				=CALCSLICE("Morale";B195;0,8)																																																										Fingers	BuHuWa
Greater Ring of the Pelennor Warrior (3s):	234		=CALCSLICE("Might";B196;2)					=CALCSLICE("Morale";B196;0,8)																																																										Fingers	BeCaChGuWa
(1879338207) Ring of Absent Friends (2s):	234		=CALCSLICE("Might";B197;2,2)					=CALCSLICE("Morale";B197;1,2)																=CALCSLICE("PhyMit";B197;0,4)	=CALCSLICE("TacMit";B197;0,4)																																									Fingers	BeCaChGuWa
(1879338208) Ring of Forgotten Spirits (2s):	234					=CALCSLICE("Will";B198;2,2)		=CALCSLICE("Morale";B198;1,2)																=CALCSLICE("PhyMit";B198;0,4)	=CALCSLICE("TacMit";B198;0,4)																																									Fingers	LoMiRu
(1879338211) Ring of Outcast Brethren (2s):	234			=CALCSLICE("Agility";B199;2,2)				=CALCSLICE("Morale";B199;1,2)																=CALCSLICE("PhyMit";B199;0,4)	=CALCSLICE("TacMit";B199;0,4)																																									Fingers	BuHuWa
(1879339562) Glittering Ring of the Blessed	234		=CALCSLICE("Might";B200;2,8)		=CALCSLICE("Vitality";B200;2,4)		=CALCSLICE("Fate";B200;1)		=CALCSLICE("Power";B200;0,8)																																																										
(1879339503) Lost Wedding Ring	234				=CALCSLICE("Vitality";B201;2,4)	=CALCSLICE("Will";B201;2,8)			=CALCSLICE("Power";B201;0,6)								=CALCSLICE("TacMas";B201;1,2)																																																		
(1879339541) Melted Bronze Ring	234			=CALCSLICE("Agility";B202;2,8)	=CALCSLICE("Vitality";B202;2,4)				=CALCSLICE("Power";B202;0,6)					=CALCSLICE("CritHit";B202;1,2)																																																					
(1879339542) Ring of the Broken Promise	234				=CALCSLICE("Vitality";B203;2,4)	=CALCSLICE("Will";B203;2,8)		=CALCSLICE("Morale";B203;0,6)	=CALCSLICE("Power";B203;0,8)						=CALCSLICE("Finesse";B203;0,4)																																																				
(1879339500) Ring of the Burnt Offering	234			=CALCSLICE("Agility";B204;2,4)	=CALCSLICE("Vitality";B204;2,8)		=CALCSLICE("Fate";B204;1)	=CALCSLICE("Morale";B204;0,8)																																																											
(1879339506) Ring of the Ciphered Message	234		=CALCSLICE("Might";B205;2,4)		=CALCSLICE("Vitality";B205;2,8)			=CALCSLICE("Morale";B205;0,6)											=CALCSLICE("CritDef";B205;0,4)				=CALCSLICE("Evade";B205;0,8)																																												
Lesser Ring of the Pelennor Sage (2s):	222					=CALCSLICE("Will";B206;2,8)		=CALCSLICE("Morale";B206;1,4)																																																										Fingers	LoMiRu
Lesser Ring of the Pelennor Scout (2s):	222			=CALCSLICE("Agility";B207;2,8)				=CALCSLICE("Morale";B207;1,4)																																																										Fingers	BuHuWa
Lesser Ring of the Pelennor Warrior (2s):	222		=CALCSLICE("Might";B208;2,8)					=CALCSLICE("Morale";B208;1,4)																																																										Fingers	BeCaChGuWa
(1879331931) Ring of Absent Friends (2s):	222		=CALCSLICE("Might";B209;2,2)					=CALCSLICE("Morale";B209;1,2)																=CALCSLICE("PhyMit";B209;0,4)	=CALCSLICE("TacMit";B209;0,4)																																									Fingers	BeCaChGuWa
(1879331939) Ring of Forgotten Spirits (2s):	222					=CALCSLICE("Will";B210;2,2)		=CALCSLICE("Morale";B210;1,2)																=CALCSLICE("PhyMit";B210;0,4)	=CALCSLICE("TacMit";B210;0,4)																																									Fingers	LoMiRu
(1879331941) Ring of Outcast Brethren (2s):	222			=CALCSLICE("Agility";B211;2,2)				=CALCSLICE("Morale";B211;1,2)																=CALCSLICE("PhyMit";B211;0,4)	=CALCSLICE("TacMit";B211;0,4)																																									Fingers	BuHuWa
Exquisite Anórien Ring of Combat (3s):	201		=CALCSLICE("Might";B212;1,4)					=CALCSLICE("Morale";B212;1,4)																																																										Fingers	BeCaChGuWa
Exquisite Anórien Ring of Skill (3s):	201			=CALCSLICE("Agility";B213;1,4)				=CALCSLICE("Morale";B213;1,4)																																																										Fingers	BuHuWa
Exquisite Anórien Ring of Succour (3s):	201					=CALCSLICE("Will";B214;1,4)		=CALCSLICE("Morale";B214;1,4)																																																										Fingers	LoMiRu
Siege-breaker's Ring of Warfare (2s):	201		=CALCSLICE("Might";B215;2)					=CALCSLICE("Morale";B215;1,2)						=CALCSLICE("CritHit";B215;1)																																																				Fingers	BeCaChGuWa
Siege-breaker's Ring of Strategy (2s):	201			=CALCSLICE("Agility";B216;2)				=CALCSLICE("Morale";B216;1,2)						=CALCSLICE("CritHit";B216;1)																																																				Fingers	BuHuWa
Siege-breaker's Ring of Tactics (2s):	201					=CALCSLICE("Will";B217;2)		=CALCSLICE("Morale";B217;1,2)						=CALCSLICE("CritHit";B217;1)																																																				Fingers	LoMiRu
Polished Star-set Ring of the Warrior	201		=CALCSLICE("Might";B218;3)		=CALCSLICE("Vitality";B218;2)									=CALCSLICE("CritHit";B218;1)	=CALCSLICE("Finesse";B218;1)																																																				
Polished Star-set Ring of the Defender	201		=CALCSLICE("Might";B219;2)		=CALCSLICE("Vitality";B219;3)										=CALCSLICE("Finesse";B219;1)							=CALCSLICE("Parry";B219;1)																																													
Polished Star-set Ring of the Rangers	201			=CALCSLICE("Agility";B220;3)	=CALCSLICE("Vitality";B220;2)									=CALCSLICE("CritHit";B220;1)	=CALCSLICE("Finesse";B220;0,6)	=CALCSLICE("PhyMas";B220;0,4)																																																			
Polished Star-set Ring of the Bridge-warden	201			=CALCSLICE("Agility";B221;2)	=CALCSLICE("Vitality";B221;3)										=CALCSLICE("Finesse";B221;1)								=CALCSLICE("Evade";B221;1)																																												
Polished Star-set Ring of the Healers	201				=CALCSLICE("Vitality";B222;2,4)	=CALCSLICE("Will";B222;3)									=CALCSLICE("Finesse";B222;0,6)		=CALCSLICE("TacMas";B222;1)																																																		
Polished Star-set Ring of the Nobleman	201				=CALCSLICE("Vitality";B223;2)	=CALCSLICE("Will";B223;3)								=CALCSLICE("CritHit";B223;1)	=CALCSLICE("Finesse";B223;1)																																																				
Gleaming Ring of the Prince	195		=CALCSLICE("Might";B224;2)		=CALCSLICE("Vitality";B224;2)		=CALCSLICE("Fate";B224;1)	=CALCSLICE("Morale";B224;2)																																																											
Strong Ring of the Prince	195			=CALCSLICE("Agility";B225;2)	=CALCSLICE("Vitality";B225;2)		=CALCSLICE("Fate";B225;1)	=CALCSLICE("Morale";B225;2)																																																											
Opulent Ring of the Prince	195				=CALCSLICE("Vitality";B226;2)	=CALCSLICE("Will";B226;2)	=CALCSLICE("Fate";B226;1)	=CALCSLICE("Morale";B226;2)																																																											
Elite Advisor's Fateful Ring (1s):	192					=CALCSLICE("Will";B227;3,6)	=CALCSLICE("Fate";B227;2)							=CALCSLICE("CritHit";B227;1)																																																				Fingers	LoMiRu
Elite Advisor's Sturdy Ring (1s):	192				=CALCSLICE("Vitality";B228;3)	=CALCSLICE("Will";B228;3)																	=CALCSLICE("Evade";B228;0,6)																																											Fingers	LoMiRu
Elite Scout's Fateful Ring (1s):	192			=CALCSLICE("Agility";B229;3,6)			=CALCSLICE("Fate";B229;2)								=CALCSLICE("Finesse";B229;1)																																																			Fingers	BuHuWa
Elite Scout's Sturdy Ring (1s):	192			=CALCSLICE("Agility";B230;3)	=CALCSLICE("Vitality";B230;3)									=CALCSLICE("CritHit";B230;0,6)																																																				Fingers	BuHuWa
Elite Soldier's Fateful Ring (1s):	192		=CALCSLICE("Might";B231;3,6)				=CALCSLICE("Fate";B231;2)								=CALCSLICE("Finesse";B231;1)																																																			Fingers	BeCaChGuWa
Elite Soldier's Sturdy Ring (1s):	192		=CALCSLICE("Might";B232;3)		=CALCSLICE("Vitality";B232;3)																				=CALCSLICE("TacMit";B232;0,6)																																									Fingers	BeCaChGuWa
Advisor's Fateful Ring (1s):	192					=CALCSLICE("Will";B233;3)	=CALCSLICE("Fate";B233;1,6)							=CALCSLICE("CritHit";B233;1)																																																				Fingers	LoMiRu
Advisor's Sturdy Ring (1s):	192				=CALCSLICE("Vitality";B234;2)	=CALCSLICE("Will";B234;3)																	=CALCSLICE("Evade";B234;0,6)																																											Fingers	LoMiRu
Scout's Fateful Ring (1s):	192			=CALCSLICE("Agility";B235;3)			=CALCSLICE("Fate";B235;1,6)								=CALCSLICE("Finesse";B235;1)																																																			Fingers	BuHuWa
Scout's Sturdy Ring (1s):	192			=CALCSLICE("Agility";B236;3)	=CALCSLICE("Vitality";B236;2)									=CALCSLICE("CritHit";B236;0,6)																																																				Fingers	BuHuWa
Soldier's Fateful Ring (1s):	192		=CALCSLICE("Might";B237;3)				=CALCSLICE("Fate";B237;1,6)								=CALCSLICE("Finesse";B237;1)																																																			Fingers	BeCaChGuWa
Soldier's Sturdy Ring (1s):	192		=CALCSLICE("Might";B238;3)		=CALCSLICE("Vitality";B238;2)																				=CALCSLICE("TacMit";B238;0,6)																																									Fingers	BeCaChGuWa
(1879310953) Skilled Vanguard's Enduring Ring	192		=CALCSLICE("Might";B239;2,4)		=CALCSLICE("Vitality";B239;2,8)			=CALCSLICE("Morale";B239;1)														=CALCSLICE("Parry";B239;0,8)																																													
Greater Resolute Ring of Fate	192				=CALCSLICE("Vitality";B240;2,4)	=CALCSLICE("Will";B240;2,8)	=CALCSLICE("Fate";B240;0,8)								=CALCSLICE("Finesse";B240;0,6)		=CALCSLICE("TacMas";B240;0,4)																																																		
Greater Resolute Ring of Penetration	192				=CALCSLICE("Vitality";B241;2,4)	=CALCSLICE("Will";B241;2,8)		=CALCSLICE("Morale";B241;0,8)						=CALCSLICE("CritHit";B241;1)																																																					
(1879310841) Master Engineer's Persevering Ring	192				=CALCSLICE("Vitality";B242;2,4)	=CALCSLICE("Will";B242;2,8)	=CALCSLICE("Fate";B242;1,2)							=CALCSLICE("CritHit";B242;0,6)																																																					
(1879310889) Skilled Vanguard's Persevering Ring	192				=CALCSLICE("Vitality";B243;2,4)	=CALCSLICE("Will";B243;2,8)		=CALCSLICE("Morale";B243;0,4)						=CALCSLICE("CritHit";B243;0,8)			=CALCSLICE("TacMas";B243;0,6)																																																		
(1879310973) Skilled Vanguard's Resolute Ring	192				=CALCSLICE("Vitality";B244;2,4)	=CALCSLICE("Will";B244;2,8)		=CALCSLICE("Morale";B244;0,4)							=CALCSLICE("Finesse";B244;0,6)		=CALCSLICE("TacMas";B244;0,8)																																																		
Exquisite Ring of Fangorn	182		=CALCSLICE("Might";B245;2,8)		=CALCSLICE("Vitality";B245;2,4)			=CALCSLICE("Morale";B245;0,6)						=CALCSLICE("CritHit";B245;0,6)		=CALCSLICE("PhyMas";B245;0,6)																																																			
Exquisite Fangorn Ring of Skill	182			=CALCSLICE("Agility";B246;2,8)	=CALCSLICE("Vitality";B246;2,4)			=CALCSLICE("Morale";B246;0,6)						=CALCSLICE("CritHit";B246;0,6)		=CALCSLICE("PhyMas";B246;0,6)																																																			
Exquisite Fangorn Ring of Tactics	182				=CALCSLICE("Vitality";B247;2,4)	=CALCSLICE("Will";B247;2,8)		=CALCSLICE("Morale";B247;0,6)						=CALCSLICE("CritHit";B247;0,6)			=CALCSLICE("TacMas";B247;0,6)																																																		
Exquisite Fangorn Ring of Endurance	182				=CALCSLICE("Vitality";B248;2,8)		=CALCSLICE("Fate";B248;2,4)	=CALCSLICE("Morale";B248;0,8)	=CALCSLICE("Power";B248;0,8)										=CALCSLICE("CritDef";B248;0,2)																																																
Greater Valourous Ring of Penetration	176		=CALCSLICE("Might";B249;2,8)		=CALCSLICE("Vitality";B249;2,4)									=CALCSLICE("CritHit";B249;1)	=CALCSLICE("Finesse";B249;0,8)																																																				
Battle Ring of the Deep	176		=CALCSLICE("Might";B250;2,8)		=CALCSLICE("Vitality";B250;2,4)			=CALCSLICE("Morale";B250;1)						=CALCSLICE("CritHit";B250;0,6)	=CALCSLICE("Finesse";B250;0,2)																																																				
Adept Officer's Valourous Ring	176		=CALCSLICE("Might";B251;2,8)		=CALCSLICE("Vitality";B251;2,4)										=CALCSLICE("Finesse";B251;0,8)	=CALCSLICE("PhyMas";B251;1)																																																			
Master Engineer's Enduring Ring	176		=CALCSLICE("Might";B252;2,4)		=CALCSLICE("Vitality";B252;2,8)		=CALCSLICE("Fate";B252;1,2)												=CALCSLICE("CritDef";B252;0,6)																																																
Greater Steadfast Ring of Fate	176		=CALCSLICE("Might";B253;2,4)		=CALCSLICE("Vitality";B253;2,8)		=CALCSLICE("Fate";B253;1,2)																=CALCSLICE("Evade";B253;0,6)																																												
Greater Dextrous Ring of Fate	176			=CALCSLICE("Agility";B254;2,8)	=CALCSLICE("Vitality";B254;2,4)		=CALCSLICE("Fate";B254;0,8)								=CALCSLICE("Finesse";B254;0,6)	=CALCSLICE("PhyMas";B254;0,4)																																																			
Adept Officer's Resilient Ring	176			=CALCSLICE("Agility";B255;2,4)	=CALCSLICE("Vitality";B255;2,8)		=CALCSLICE("Fate";B255;1)									=CALCSLICE("PhyMas";B255;0,8)																																																			
Master Engineer's Resilient Ring	176			=CALCSLICE("Agility";B256;2,4)	=CALCSLICE("Vitality";B256;2,8)									=CALCSLICE("CritHit";B256;0,6)		=CALCSLICE("PhyMas";B256;1,2)																																																			
Exquisite Emerald Ring of Combat	156		=CALCSLICE("Might";B257;2,4)		=CALCSLICE("Vitality";B257;2)			=CALCSLICE("Morale";B257;1)						=CALCSLICE("CritHit";B257;0,6)																																																					
Ring of Dryad Loveliness (3s)	258					237		1401
Ring of the Outer fence (3s)	258		237					1401
Ring of the Sunset's Window (3s)	258			237				1401
Pockets																																																																	
Empowered Crest of Gondor's Strength (3s):	282		=CALCSLICE("Might";B259;3)					=CALCSLICE("Morale";B259;0,8)																																																										Pocket	BeCaChGuWa
Empowered Crest of Gondor's Swiftness (3s):	282			=CALCSLICE("Agility";B260;3)				=CALCSLICE("Morale";B260;0,8)																																																										Pocket	BuHuWa
Empowered Crest of Gondor's Wisdom (3s):	282					=CALCSLICE("Will";B261;3)		=CALCSLICE("Morale";B261;0,8)																																																										Pocket	LoMiRu
Master-armourer's Crest of Gondor's Strength (3s):	258		=CALCSLICE("Might";B262;3)					=CALCSLICE("Morale";B262;0,8)																																																										Pocket	BeCaChGuWa
Master-armourer's Crest of Gondor's Swiftness (3s):	258			=CALCSLICE("Agility";B263;3)				=CALCSLICE("Morale";B263;0,8)																																																										Pocket	BuHuWa
Master-armourer's Crest of Gondor's Wisdom (3s):	258					=CALCSLICE("Will";B264;3)		=CALCSLICE("Morale";B264;0,8)																																																										Pocket	LoMiRu
Crest of Gondor's Strength (3s):	246		=CALCSLICE("Might";B265;2)					=CALCSLICE("Morale";B265;0,8)																																																										Pocket	BeCaChGuWa
Crest of Gondor's Swiftness (3s):	246			=CALCSLICE("Agility";B266;2)				=CALCSLICE("Morale";B266;0,8)																																																										Pocket	BuHuWa
Crest of Gondor's Wisdom (3s):	246					=CALCSLICE("Will";B267;2)		=CALCSLICE("Morale";B267;0,8)																																																										Pocket	LoMiRu
Hilt of Eärnil (3s):	234		=CALCSLICE("Might";B268;2,4)		=CALCSLICE("Vitality";B268;1,4)																																																													Pocket	BeCaChGuWa
Hilt of Eärnil (3s):	234			=CALCSLICE("Agility";B269;2,4)	=CALCSLICE("Vitality";B269;1,4)																																																													Pocket	BuHuWa
Hilt of Eärnil (3s):	234				=CALCSLICE("Vitality";B270;1,4)	=CALCSLICE("Will";B270;2,4)																																																												Pocket	LoMiRu
Greater Bauble of the Pelennor Sage (3s):	234					=CALCSLICE("Will";B271;2)		=CALCSLICE("Morale";B271;0,8)																																																										Pocket	LoMiRu
