	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	OutHeal	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	LoE	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes	MinLvl	MaxLvl	CategoryId	QualityId	SlotId	ClassId	EssSlots	SliceTot	SliceChk
Polished Torc of Thorin's Strength (2s):	345		743		867									3215													20			1879366110																																						Neck	BeCaChGu	115		49	3	8		2	7
Proud Emblem of Thorin's Memory (1s):	345		669		1115																		7233				28			1879347727																																						Pocket	BeCaChGu	115		49	2	12		1	6,2
Proud Emblem of Thorin's Strength (1s):	345		743		867										11691												28			1879347680																																						Pocket	BeCaChGu	115		49	2	12		1	6,2
Quick Gages of Thranduil's Cunning (1s):	340	6925		634	939		352																	6853			20			1879365560																																						Hands	BuHuWa	115		5	3	3		1	7
Quick Gages of Thranduil's Power (1s):	340	6925		704	822		422								7384												20			1879365551																																						Hands	BuHuWa	115		5	3	3		1	7
Quick Gold Bracelet of Thranduil's Cunning	345			743	1239														5848				8680				20			1879347653																																						Wrists	BuHuWa	115		49	3	2			7
Quick Gold Bracelet of Thranduil's Power	345			818	991									3215	15588												20			1879347721																																						Wrists	BuHuWa	115		49	3	2			7
Reinforced Chestplate of Thorin's Memory (1s):	340	14580	634		1057															7641							16			1879365456																																						Chest	CaChGu	115		3	2	13		1	6,2
Reinforced Chestplate of Thorin's Strength (1s):	340	14580	704		822										11076												16			1879365472																																						Chest	CaChGu	115		3	2	13		1	6,2
Reinforced Hauberk of Thranduil's Cunning (2s):	340	13851		634	939																		6853				20			1879365597																																						Chest	BuHuWa	115		3	3	3		2	7
Reinforced Hauberk of Thranduil's Power (2s):	340	13851		704	822										9230												20			1879365543																																						Chest	BuHuWa	115		3	3	3		2	7
Rhodalite Silver Earring of Thranduil's Cunning	345			743	1239		446													9679							20			1879347741																																						Ears	BuHuWa	115		49	3	5			7
Rhodalite Silver Earring of Thranduil's Power	345			818	991		371									7851											20			1879347644																																						Ears	BuHuWa	115		49	3	5			7
Rhodalite Silver Stud of Thorin's Memory	345		669		1363		446																			8682	20			1879347694																																						Ears	BeCaChGu	115		49	3	5			7
Rhodalite Silver Stud of Thorin's Strength	345		818		991		371									7851											20			1879347729																																						Ears	BeCaChGu	115		49	3	5			7
Rivetted Camail of Thranduil's Cunning (2s):	340	4155	634		939																		6853				20			1879365553																																						Shoulders	Be	115		6	3	3		2	7
Rivetted Camail of Thranduil's Cunning (2s):	340	4155		634	939																		6853				20			1879365556																																						Shoulders	BuHuWa	115		6	3	3		2	7
Rivetted Camail of Thranduil's Power (2s):	340	4155	704		822											4738											20			1879365581																																						Shoulders	Be	115		6	3	3		2	7
Rivetted Camail of Thranduil's Power (2s):	340	4155		704	822											4738											20			1879365598																																						Shoulders	BuHuWa	115		6	3	3		2	7
Rugged Shoes of Bard's Honour (1s):	340	4924			822	704								3655				6384									20			1879365554																																						Feet	LoMiRu	115		23	3	0		1	7
Rugged Shoes of Bard's Will (1s):	340	4924			822	704	281							3655													20			1879365596																																						Feet	LoMiRu	115		23	3	0		1	7
Runed Gloves of Bard's Honour (1s):	340	6156			822	704												9576								5483	20			1879365573																																						Hands	LoMiRu	115		5	3	0		1	7
Runed Gloves of Bard's Will (1s):	340	6156			822	704	422								7384												20			1879365565																																						Hands	LoMiRu	115		5	3	0		1	7
Runed Jade Ring of Bard's Honour	345				991	818	371											13224									20			1879347650																																						Fingers	LoMiRu	115		49	3	11			7
Runed Jade Ring of Bard's Will	345				991	818	371							5144													20			1879347683																																						Fingers	LoMiRu	115		49	3	11			7
Strong Gages of Thranduil's Cunning	340	6561	704		1057		281																	6853			16			1879365498																																						Hands	Be	115		5	2	3			6,2
Strong Gages of Thranduil's Power	340	6561	704		822		493								7384												16			1879365504																																						Hands	Be	115		5	2	3			6,2
Strong Gauntlets of Thorin's Memory	340	7290	634		1057		352													7641							16			1879365459																																						Hands	CaChGu	115		5	2	13			6,2
Strong Gauntlets of Thorin's Strength	340	7290	704		822		422								9230												16			1879365503																																						Hands	CaChGu	115		5	2	13			6,2
Strong Steel Bracelet of Thranduil's Cunning	345		743		1115														3899				7233				18			1879347669																																						Wrists	BeCaChGu	115		49	2	2			6,2
Strong Steel Bracelet of Thranduil's Power	345		743		867		297								13640												18			1879347667																																						Wrists	BeCaChGu	115		49	2	2			6,2
Studded Gold Bracer of Thorin's Memory	345		669		1115																		7233	7233			18			1879347641																																						Wrists	BeCaChGu	115		49	2	2			6,2
Studded Gold Bracer of Thorin's Strength	345		743		867									3215	11691												18			1879347702																																						Wrists	BeCaChGu	115		49	2	2			6,2
Stylish Pendant of Thranduil's Cunning (1s):	345			743	991														4874								18			1879347751																																						Neck	BuHuWa	115		49	2	8		1	6,2
Stylish Pendant of Thranduil's Power (1s):	345			743	867										11691												18			1879347655																																						Neck	BuHuWa	115		49	2	8		1	6,2
Superior Shoes of Bard's Honour	340	4665			822	704								4264				6384									16			1879365475																																						Feet	LoMiRu	115		23	2	0			6,2
Superior Shoes of Bard's Will	340	4665			822	704	281							4264													16			1879365487																																						Feet	LoMiRu	115		23	2	0			6,2
Supple Gloves of Bard's Honour	340	5832			822	704												11172								5483	16			1879365497																																						Hands	LoMiRu	115		5	2	0			6,2
Supple Gloves of Bard's Will	340	5832			822	704									7384					10697							16			1879365501																																						Hands	LoMiRu	115		5	2	0			6,2
Swift Silver Bracelet of Thranduil's Cunning	345			743	1239														5848					8680			20			1879347707																																						Wrists	BuHuWa	115		49	3	2			7
Swift Silver Bracelet of Thranduil's Power	345			818	991		595									4907											20			1879347703																																						Wrists	BuHuWa	115		49	3	2			7
Thick Sabatons of Thorin's Memory	340	5832	634		1057																		6853	6853			16			1879365496																																						Feet	CaChGu	115		23	2	13			6,2
Thick Sabatons of Thorin's Strength	340	5832	704		822		352							3655													16			1879365500																																						Feet	CaChGu	115		23	2	13			6,2
Timeworn Brooch of Thranduil's Cunning (2s):	345		669		991																		7233				30			1879347645																																						Pocket	BeCaChGu	115		49	3	12		2	7
Timeworn Brooch of Thranduil's Power (2s):	345		743		867										9743												30			1879347693																																						Pocket	BeCaChGu	115		49	3	12		2	7
Topaz Gold Ear Cuff of Bard's Honour	345				867	743	520																			5788	18			1879347639																																						Ears	LoMiRu	115		49	2	5			6,2
Topaz Gold Ear Cuff of Bard's Will	345				867	743								4501			3925										18			1879347687																																						Ears	LoMiRu	115		49	2	5			6,2
Topaz Gold Ring of Thranduil's Cunning	345			743	991														4874					7233			18			1879347733																																						Fingers	BuHuWa	115		49	2	11			6,2
Topaz Gold Ring of Thranduil's Power	345			743	867									4501	7794												18			1879347731																																						Fingers	BuHuWa	115		49	2	11			6,2
Topaz Steel Earring of Thranduil's Cunning	345		743		1115															6452				7233			18			1879347625																																						Ears	BeCaChGu	115		49	2	5			6,2
Topaz Steel Earring of Thranduil's Power	345		743		867									4501		3925											18			1879347630																																						Ears	BeCaChGu	115		49	2	5			6,2
Topaz Steel Ring of Thorin's Memory	345		669		1115		371															7233					18			1879347628																																						Fingers	BeCaChGu	115		49	2	11			6,2
Topaz Steel Ring of Thorin's Strength	345		743		867									3858	9743												18			1879347688																																						Fingers	BeCaChGu	115		49	2	11			6,2
Tough Boots of Thranduil's Cunning	340	5248	704		1057														3694	7641							16			1879365484																																						Feet	Be	115		23	2	3			6,2
Tough Boots of Thranduil's Power	340	5248	704		822		281							4264													16			1879365489																																						Feet	Be	115		23	2	3			6,2
Tough Greaves of Thorin's Memory	340	12150	634		1057																		6853			6854	16			1879365466																																						Legs	CaChGu	115		15	2	13			6,2
Tough Greaves of Thorin's Strength	340	12150	704		822									3046						9169							16			1879365477																																						Legs	CaChGu	115		15	2	13			6,2
Tough Iron Bracelet of Thranduil's Cunning	345		743		1115														4874					5787			18			1879347734																																						Wrists	BeCaChGu	115		49	2	2			6,2
Tough Iron Bracelet of Thranduil's Power	345		743		867		520								7794												18			1879347730																																						Wrists	BeCaChGu	115		49	2	2			6,2
Tourmaline Silver Earring of Thranduil's Cunning	345			743	991		371													8066							18			1879347635																																						Ears	BuHuWa	115		49	2	5			6,2
Tourmaline Silver Earring of Thranduil's Power	345			743	867		297									6870											18			1879347717																																						Ears	BuHuWa	115		49	2	5			6,2
Tourmaline Silver Stud of Thorin's Memory	345		669		1115		371																			7235	18			1879347678																																						Ears	BeCaChGu	115		49	2	5			6,2
Tourmaline Silver Stud of Thorin's Strength	345		743		867		371									5888											18			1879347713																																						Ears	BeCaChGu	115		49	2	5			6,2
Twined Silver Armlet of Bard's Honour	345				991	818	371							5144													20			1879347691																																						Wrists	LoMiRu	115		49	3	2			7
Twined Silver Armlet of Bard's Will	345				991	818	595							3215													20			1879347661																																						Wrists	LoMiRu	115		49	3	2			7
Woven Heavy Cloak of Thorin's Memory	340	5832	634		1057														4617	7641							16			1879365458																																						Back	BeCaChGu	115		45	2	0			6,2
Woven Heavy Cloak of Thorin's Strength	340	5832	704		822									3655		4738											16			1879365460																																						Back	BeCaChGu	115		45	2	0			6,2
Woven Light Cloak of Bard's Honour	340	5832			822	704								4264												5483	16			1879365494																																						Back	LoMiRu	115		45	2	0			6,2
Woven Light Cloak of Bard's Will	340	5832			822	704								4264			3790										16			1879365464																																						Back	LoMiRu	115		45	2	0			6,2
Woven Silk Cloak of Thranduil's Cunning	340	5832		704	939															7641				6853			16			1879365479																																						Back	BuHuWa	115		45	2	0			6,2
Woven Silk Cloak of Thranduil's Power	340	5832		704	822									4264		3790											16			1879365478																																						Back	BuHuWa	115		45	2	0			6,2
Woven Silver Armlet of Bard's Honour	345				867	743								2572	13640												18			1879347648																																						Wrists	LoMiRu	115		49	2	2			6,2
Woven Silver Armlet of Bard's Will	345				867	743	520							2572													18			1879347745																																						Wrists	LoMiRu	115		49	2	2			6,2
Woven Vest of Bard's Honour (2s):	340	12312			822	704	352																				20			1879365548																																						Chest	LoMiRu	115		3	3	0		2	7
Woven Vest of Bard's Will (2s):	340	12312			822	704	352																				20			1879365591																																						Chest	LoMiRu	115		3	3	0		2	7
Woven Wool Cloak of Thranduil's Cunning	340	5832	704		1057															7641				5482			16			1879365493																																						Back	BeCaChGu	115		45	2	0			6,2
Woven Wool Cloak of Thranduil's Power	340	5832	704		822									4264		3790											16			1879365473																																						Back	BeCaChGu	115		45	2	0			6,2
